2023-08-13T23:06:47.275Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-13T23:22:59.381Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-13T23:41:00.494Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-13T23:58:35.608Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T00:23:20.383Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T00:38:25.466Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T00:54:24.314Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T01:10:57.359Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T01:26:15.605Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T01:43:13.639Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T01:58:38.689Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T02:16:28.717Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T02:31:58.397Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T02:51:41.415Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T03:06:59.539Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T03:22:10.615Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T03:38:38.550Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T03:56:06.436Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T04:12:59.445Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T04:28:48.497Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T04:46:22.446Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T05:02:00.668Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T05:18:15.504Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T05:33:33.458Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T05:50:30.435Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T06:05:59.737Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T06:22:41.608Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T06:39:48.796Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T06:57:38.791Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T07:14:47.690Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T07:18:36.217Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T07:20:36.190Z warp-dns-stats: Queries: 161, Success: 64.0%, TimedOut: 0.0%, NoRecordsFound: 36.0%, Other Error: 0.0%, Avg Duration: 42.01ms
2023-08-14T07:22:36.192Z warp-dns-stats: Queries: 79, Success: 83.5%, TimedOut: 0.0%, NoRecordsFound: 16.5%, Other Error: 0.0%, Avg Duration: 29.76ms
2023-08-14T07:24:36.193Z warp-dns-stats: Queries: 53, Success: 92.5%, TimedOut: 0.0%, NoRecordsFound: 7.5%, Other Error: 0.0%, Avg Duration: 20.43ms
2023-08-14T07:41:32.610Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T07:56:41.834Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T07:59:51.788Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T08:01:51.786Z warp-dns-stats: Queries: 138, Success: 69.6%, TimedOut: 0.0%, NoRecordsFound: 30.4%, Other Error: 0.0%, Avg Duration: 37.17ms
2023-08-14T08:03:51.786Z warp-dns-stats: Queries: 48, Success: 79.2%, TimedOut: 0.0%, NoRecordsFound: 20.8%, Other Error: 0.0%, Avg Duration: 9.52ms
2023-08-14T08:09:14.618Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-14T08:18:38.448Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-31T09:26:53.124Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-31T09:27:19.076Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-31T09:28:31.908Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-31T09:29:16.200Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-31T09:29:37.280Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-31T09:30:21.981Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-31T09:32:35.978Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-31T09:34:15.410Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-31T09:35:22.347Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-31T09:37:22.349Z warp-dns-stats: Queries: 121, Success: 65.3%, TimedOut: 0.0%, NoRecordsFound: 34.7%, Other Error: 0.0%, Avg Duration: 38.24ms
2023-08-31T09:39:22.351Z warp-dns-stats: Queries: 49, Success: 75.5%, TimedOut: 0.0%, NoRecordsFound: 24.5%, Other Error: 0.0%, Avg Duration: 6.88ms
2023-08-31T09:41:22.352Z warp-dns-stats: Queries: 46, Success: 95.7%, TimedOut: 0.0%, NoRecordsFound: 4.3%, Other Error: 0.0%, Avg Duration: 46.59ms
2023-08-31T09:43:22.354Z warp-dns-stats: Queries: 158, Success: 95.6%, TimedOut: 0.0%, NoRecordsFound: 4.4%, Other Error: 0.0%, Avg Duration: 75.84ms
2023-08-31T09:45:22.355Z warp-dns-stats: Queries: 35, Success: 97.1%, TimedOut: 0.0%, NoRecordsFound: 2.9%, Other Error: 0.0%, Avg Duration: 21.34ms
2023-08-31T09:47:22.358Z warp-dns-stats: Queries: 50, Success: 78.0%, TimedOut: 0.0%, NoRecordsFound: 22.0%, Other Error: 0.0%, Avg Duration: 27.46ms
2023-08-31T09:49:22.359Z warp-dns-stats: Queries: 38, Success: 92.1%, TimedOut: 0.0%, NoRecordsFound: 7.9%, Other Error: 0.0%, Avg Duration: 31.50ms
2023-08-31T09:51:22.361Z warp-dns-stats: Queries: 41, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 43.80ms
2023-08-31T10:10:00.355Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-31T10:26:25.396Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-31T10:42:28.250Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-31T10:44:25.636Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-31T11:02:07.495Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-31T11:14:36.811Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-31T11:16:36.813Z warp-dns-stats: Queries: 153, Success: 61.4%, TimedOut: 0.0%, NoRecordsFound: 38.6%, Other Error: 0.0%, Avg Duration: 106.54ms
2023-08-31T11:20:40.972Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-31T11:36:05.459Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-31T11:45:21.796Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-31T11:47:21.797Z warp-dns-stats: Queries: 156, Success: 64.1%, TimedOut: 0.0%, NoRecordsFound: 35.9%, Other Error: 0.0%, Avg Duration: 124.01ms
2023-08-31T11:49:21.799Z warp-dns-stats: Queries: 55, Success: 83.6%, TimedOut: 0.0%, NoRecordsFound: 16.4%, Other Error: 0.0%, Avg Duration: 25.07ms
2023-08-31T11:51:21.800Z warp-dns-stats: Queries: 41, Success: 95.1%, TimedOut: 0.0%, NoRecordsFound: 4.9%, Other Error: 0.0%, Avg Duration: 27.00ms
2023-08-31T11:53:21.801Z warp-dns-stats: Queries: 36, Success: 94.4%, TimedOut: 0.0%, NoRecordsFound: 5.6%, Other Error: 0.0%, Avg Duration: 17.94ms
