2023-08-12T23:11:10.571Z warp-stats: Time since handshake: 0.14s, tx: 3.82KiB, rx: 0B, loss: 0.0%, latency: 93ms
2023-08-12T23:27:14.611Z warp-stats: Time since handshake: 0.15s, tx: 64B, rx: 0B, loss: 0.0%, latency: 107ms
2023-08-12T23:43:33.677Z warp-stats: Time since handshake: 0.21s, tx: 155B, rx: 0B, loss: 0.0%, latency: 149ms
2023-08-13T00:01:08.783Z warp-stats: Time since handshake: 0.18s, tx: 64B, rx: 0B, loss: 0.0%, latency: 149ms
2023-08-13T00:17:07.716Z warp-stats: Time since handshake: 0.18s, tx: 128B, rx: 0B, loss: 0.0%, latency: 113ms
2023-08-13T00:33:35.793Z warp-stats: Time since handshake: 0.13s, tx: 216B, rx: 0B, loss: 0.0%, latency: 78ms
2023-08-13T00:48:49.734Z warp-stats: Time since handshake: 0.22s, tx: 0.61KiB, rx: 0B, loss: 0.0%, latency: 169ms
2023-08-13T01:04:13.709Z warp-stats: Time since handshake: 0.17s, tx: 64B, rx: 0B, loss: 0.0%, latency: 120ms
2023-08-13T01:21:51.678Z warp-stats: Time since handshake: 0.19s, tx: 128B, rx: 0B, loss: 0.0%, latency: 125ms
2023-08-13T01:38:37.677Z warp-stats: Time since handshake: 0.17s, tx: 192B, rx: 0B, loss: 0.0%, latency: 103ms
2023-08-13T01:54:16.658Z warp-stats: Time since handshake: 0.21s, tx: 270B, rx: 0B, loss: 0.0%, latency: 153ms
2023-08-13T02:10:30.745Z warp-stats: Time since handshake: 0.15s, tx: 64B, rx: 0B, loss: 0.0%, latency: 107ms
2023-08-13T02:26:50.666Z warp-stats: Time since handshake: 0.16s, tx: 341B, rx: 0B, loss: 0.0%, latency: 99ms
2023-08-13T02:42:45.797Z warp-stats: Time since handshake: 0.12s, tx: 64B, rx: 0B, loss: 0.0%, latency: 84ms
2023-08-13T02:57:53.753Z warp-stats: Time since handshake: 0.18s, tx: 246B, rx: 0B, loss: 0.0%, latency: 75ms
2023-08-13T03:15:28.776Z warp-stats: Time since handshake: 0.17s, tx: 396B, rx: 0B, loss: 0.0%, latency: 111ms
2023-08-13T03:32:35.990Z warp-stats: Time since handshake: 0.31s, tx: 64B, rx: 0B, loss: 0.0%, latency: 262ms
2023-08-13T03:47:57.755Z warp-stats: Time since handshake: 0.17s, tx: 64B, rx: 0B, loss: 0.0%, latency: 86ms
2023-08-13T04:05:14.744Z warp-stats: Time since handshake: 0.14s, tx: 128B, rx: 0B, loss: 0.0%, latency: 90ms
2023-08-13T04:20:58.815Z warp-stats: Time since handshake: 0.17s, tx: 64B, rx: 0B, loss: 0.0%, latency: 114ms
2023-08-13T04:38:12.708Z warp-stats: Time since handshake: 0.15s, tx: 64B, rx: 0B, loss: 0.0%, latency: 97ms
2023-08-13T04:53:15.858Z warp-stats: Time since handshake: 0.10s, tx: 0B, rx: 0B, loss: 0.0%, latency: 64ms
2023-08-13T05:10:10.762Z warp-stats: Time since handshake: 0.18s, tx: 64B, rx: 0B, loss: 0.0%, latency: 73ms
2023-08-13T05:26:19.081Z warp-stats: Time since handshake: 0.33s, tx: 0B, rx: 0B, loss: 0.0%, latency: 277ms
2023-08-13T05:43:24.401Z warp-stats: Time since handshake: 0.84s, tx: 64B, rx: 0B, loss: 0.0%, latency: 783ms
2023-08-13T06:01:11.956Z warp-stats: Time since handshake: 0.16s, tx: 64B, rx: 0B, loss: 0.0%, latency: 121ms
2023-08-13T06:18:03.911Z warp-stats: Time since handshake: 0.13s, tx: 0B, rx: 0B, loss: 0.0%, latency: 84ms
2023-08-13T06:35:57.833Z warp-stats: Time since handshake: 0.15s, tx: 419B, rx: 0B, loss: 0.0%, latency: 78ms
2023-08-13T06:53:45.901Z warp-stats: Time since handshake: 0.15s, tx: 40B, rx: 0B, loss: 0.0%, latency: 108ms
2023-08-13T07:11:36.903Z warp-stats: Time since handshake: 0.13s, tx: 148B, rx: 0B, loss: 0.0%, latency: 82ms
2023-08-13T07:28:13.940Z warp-stats: Time since handshake: 0.13s, tx: 0.73KiB, rx: 0B, loss: 0.0%, latency: 80ms
2023-08-13T07:40:14.876Z warp-stats: Time since handshake: 0.17s, tx: 1.54KiB, rx: 0B, loss: 0.0%, latency: 90ms
2023-08-13T07:57:26.841Z warp-stats: Time since handshake: 0.16s, tx: 64B, rx: 0B, loss: 0.0%, latency: 114ms
2023-08-13T08:03:01.098Z warp-stats: Time since handshake: 0.13s, tx: 64B, rx: 0B, loss: 0.0%, latency: 85ms
2023-08-13T08:05:01.089Z warp-stats: Time since handshake: 120.12s, tx: 1.28MiB, rx: 29.26MiB, loss: 0.0%, latency: 85ms
2023-08-13T08:06:31.628Z warp-stats: Time since handshake: 0.38s, tx: 212B, rx: 0B, loss: 0.0%, latency: 290ms
2023-08-13T08:25:09.906Z warp-stats: Time since handshake: 0.13s, tx: 1.07KiB, rx: 0B, loss: 0.0%, latency: 91ms
2023-08-13T08:31:02.994Z warp-stats: Time since handshake: 0.16s, tx: 425B, rx: 0B, loss: 0.0%, latency: 122ms
2023-08-13T08:33:02.997Z warp-stats: Time since handshake: 120.17s, tx: 1.24MiB, rx: 15.29MiB, loss: 0.0%, latency: 122ms
2023-08-13T08:35:02.997Z warp-stats: Time since handshake: 119.99s, tx: 2.13MiB, rx: 17.74MiB, loss: 0.2%, latency: 30ms
2023-08-13T08:51:24.872Z warp-stats: Time since handshake: 0.16s, tx: 64B, rx: 0B, loss: 0.0%, latency: 108ms
2023-08-13T09:08:59.916Z warp-stats: Time since handshake: 0.19s, tx: 64B, rx: 0B, loss: 0.0%, latency: 153ms
2023-08-13T09:26:08.191Z warp-stats: Time since handshake: 0.32s, tx: 64B, rx: 0B, loss: 0.0%, latency: 270ms
2023-08-13T09:43:36.875Z warp-stats: Time since handshake: 0.19s, tx: 0B, rx: 0B, loss: 0.0%, latency: 129ms
2023-08-13T10:00:16.911Z warp-stats: Time since handshake: 0.20s, tx: 326B, rx: 0B, loss: 0.0%, latency: 120ms
2023-08-13T10:15:40.962Z warp-stats: Time since handshake: 0.18s, tx: 0B, rx: 0B, loss: 0.0%, latency: 131ms
2023-08-13T10:33:22.905Z warp-stats: Time since handshake: 0.17s, tx: 64B, rx: 0B, loss: 0.0%, latency: 131ms
2023-08-13T10:51:01.019Z warp-stats: Time since handshake: 0.21s, tx: 0B, rx: 0B, loss: 0.0%, latency: 166ms
2023-08-13T11:06:53.080Z warp-stats: Time since handshake: 0.20s, tx: 188B, rx: 0B, loss: 0.0%, latency: 161ms
2023-08-13T11:23:00.968Z warp-stats: Time since handshake: 0.17s, tx: 64B, rx: 0B, loss: 0.0%, latency: 128ms
2023-08-13T11:38:59.986Z warp-stats: Time since handshake: 0.20s, tx: 0B, rx: 0B, loss: 0.0%, latency: 159ms
2023-08-13T11:54:18.137Z warp-stats: Time since handshake: 0.17s, tx: 64B, rx: 0B, loss: 0.0%, latency: 121ms
2023-08-13T11:56:18.126Z warp-stats: Time since handshake: 120.16s, tx: 1.02MiB, rx: 6.40MiB, loss: 0.0%, latency: 121ms
2023-08-13T11:58:18.126Z warp-stats: Time since handshake: 119.98s, tx: 1.17MiB, rx: 6.66MiB, loss: 0.2%, latency: 61ms
2023-08-13T12:15:19.910Z warp-stats: Time since handshake: 0.15s, tx: 64B, rx: 0B, loss: 0.0%, latency: 115ms
2023-08-13T12:30:24.953Z warp-stats: Time since handshake: 0.23s, tx: 0B, rx: 0B, loss: 0.0%, latency: 180ms
2023-08-13T12:45:52.173Z warp-stats: Time since handshake: 0.33s, tx: 64B, rx: 0B, loss: 0.0%, latency: 277ms
2023-08-13T13:02:04.170Z warp-stats: Time since handshake: 0.15s, tx: 104B, rx: 0B, loss: 0.0%, latency: 100ms
2023-08-13T13:19:25.082Z warp-stats: Time since handshake: 0.20s, tx: 162B, rx: 0B, loss: 0.0%, latency: 130ms
2023-08-13T13:37:24.092Z warp-stats: Time since handshake: 0.30s, tx: 5.91KiB, rx: 0B, loss: 0.0%, latency: 260ms
2023-08-13T13:52:28.948Z warp-stats: Time since handshake: 0.15s, tx: 128B, rx: 0B, loss: 0.0%, latency: 92ms
2023-08-13T14:09:38.095Z warp-stats: Time since handshake: 0.17s, tx: 84B, rx: 0B, loss: 0.0%, latency: 113ms
2023-08-13T14:24:41.062Z warp-stats: Time since handshake: 0.14s, tx: 122B, rx: 0B, loss: 0.0%, latency: 91ms
2023-08-13T14:41:25.975Z warp-stats: Time since handshake: 0.15s, tx: 64B, rx: 0B, loss: 0.0%, latency: 96ms
2023-08-13T14:56:59.073Z warp-stats: Time since handshake: 0.13s, tx: 246B, rx: 0B, loss: 0.0%, latency: 86ms
2023-08-13T15:13:29.269Z warp-stats: Time since handshake: 0.28s, tx: 64B, rx: 0B, loss: 0.0%, latency: 234ms
