2023-08-12T18:03:47.439Z warp-stats: Time since handshake: 1.07s, tx: 64B, rx: 0B, loss: 0.0%, latency: 997ms
2023-08-12T18:05:47.442Z warp-stats: Time since handshake: 0.84s, tx: 0.65MiB, rx: 3.12MiB, loss: 0.1%, latency: 41ms
2023-08-12T18:07:47.443Z warp-stats: Time since handshake: 0.83s, tx: 1.05MiB, rx: 5.13MiB, loss: 0.0%, latency: 65ms
2023-08-12T18:25:59.630Z warp-stats: Time since handshake: 0.29s, tx: 64B, rx: 0B, loss: 0.0%, latency: 257ms
2023-08-12T18:37:11.406Z warp-stats: Time since handshake: 0.15s, tx: 0B, rx: 0B, loss: 0.0%, latency: 78ms
2023-08-12T18:42:48.651Z warp-stats: Time since handshake: 0.17s, tx: 148B, rx: 0B, loss: 0.0%, latency: 108ms
2023-08-12T18:44:48.648Z warp-stats: Time since handshake: 120.17s, tx: 1.27MiB, rx: 1.44MiB, loss: 0.0%, latency: 108ms
2023-08-12T18:46:48.649Z warp-stats: Time since handshake: 119.99s, tx: 2.26MiB, rx: 7.23MiB, loss: 0.0%, latency: 12ms
2023-08-12T18:47:39.763Z warp-stats: Time since handshake: 0.24s, tx: 64B, rx: 0B, loss: 0.0%, latency: 204ms
2023-08-12T18:49:39.755Z warp-stats: Time since handshake: 120.23s, tx: 1.40MiB, rx: 3.26MiB, loss: 5.5%, latency: 204ms
2023-08-12T18:51:39.754Z warp-stats: Time since handshake: 119.96s, tx: 1.59MiB, rx: 3.46MiB, loss: 0.0%, latency: 12ms
2023-08-12T18:53:39.755Z warp-stats: Time since handshake: 119.95s, tx: 1.75MiB, rx: 3.62MiB, loss: 0.2%, latency: 17ms
2023-08-12T18:55:39.755Z warp-stats: Time since handshake: 119.95s, tx: 1.88MiB, rx: 3.75MiB, loss: 0.0%, latency: 19ms
2023-08-12T18:57:39.756Z warp-stats: Time since handshake: 119.65s, tx: 2.04MiB, rx: 3.97MiB, loss: 0.0%, latency: 19ms
2023-08-12T18:59:39.756Z warp-stats: Time since handshake: 119.63s, tx: 2.22MiB, rx: 4.18MiB, loss: 0.5%, latency: 14ms
2023-08-12T19:01:39.755Z warp-stats: Time since handshake: 119.52s, tx: 2.39MiB, rx: 4.40MiB, loss: 2.2%, latency: 19ms
2023-08-12T19:03:39.756Z warp-stats: Time since handshake: 119.49s, tx: 2.54MiB, rx: 4.57MiB, loss: 0.2%, latency: 16ms
2023-08-12T19:05:39.755Z warp-stats: Time since handshake: 119.48s, tx: 3.15MiB, rx: 8.19MiB, loss: 1.4%, latency: 16ms
2023-08-12T19:07:39.756Z warp-stats: Time since handshake: 119.45s, tx: 3.78MiB, rx: 13.47MiB, loss: 0.5%, latency: 20ms
2023-08-12T19:09:39.756Z warp-stats: Time since handshake: 119.45s, tx: 4.85MiB, rx: 21.04MiB, loss: 0.5%, latency: 14ms
2023-08-12T19:11:39.766Z warp-stats: Time since handshake: 119.44s, tx: 5.94MiB, rx: 23.01MiB, loss: 1.2%, latency: 27ms
2023-08-12T19:13:39.756Z warp-stats: Time since handshake: 119.44s, tx: 6.58MiB, rx: 28.37MiB, loss: 0.6%, latency: 13ms
2023-08-12T19:15:39.756Z warp-stats: Time since handshake: 119.43s, tx: 7.65MiB, rx: 32.00MiB, loss: 1.0%, latency: 13ms
2023-08-12T19:17:39.757Z warp-stats: Time since handshake: 119.43s, tx: 7.82MiB, rx: 32.15MiB, loss: 0.3%, latency: 16ms
2023-08-12T19:19:39.756Z warp-stats: Time since handshake: 119.41s, tx: 7.99MiB, rx: 32.35MiB, loss: 0.0%, latency: 31ms
2023-08-12T19:21:39.756Z warp-stats: Time since handshake: 119.39s, tx: 8.14MiB, rx: 32.51MiB, loss: 1.0%, latency: 22ms
2023-08-12T19:23:39.756Z warp-stats: Time since handshake: 119.39s, tx: 8.41MiB, rx: 33.77MiB, loss: 0.1%, latency: 28ms
2023-08-12T19:25:39.756Z warp-stats: Time since handshake: 119.38s, tx: 8.66MiB, rx: 34.02MiB, loss: 1.1%, latency: 13ms
2023-08-12T19:27:39.757Z warp-stats: Time since handshake: 119.37s, tx: 8.80MiB, rx: 34.21MiB, loss: 0.0%, latency: 47ms
2023-08-12T19:29:39.756Z warp-stats: Time since handshake: 119.37s, tx: 9.61MiB, rx: 36.38MiB, loss: 0.0%, latency: 15ms
2023-08-12T19:31:39.757Z warp-stats: Time since handshake: 119.35s, tx: 10.10MiB, rx: 36.86MiB, loss: 0.0%, latency: 85ms
2023-08-12T19:33:39.756Z warp-stats: Time since handshake: 119.35s, tx: 10.56MiB, rx: 37.31MiB, loss: 0.0%, latency: 16ms
2023-08-12T19:35:39.756Z warp-stats: Time since handshake: 119.35s, tx: 11.05MiB, rx: 37.79MiB, loss: 0.1%, latency: 16ms
2023-08-12T19:37:39.757Z warp-stats: Time since handshake: 119.05s, tx: 11.45MiB, rx: 38.18MiB, loss: 0.0%, latency: 13ms
2023-08-12T19:39:39.757Z warp-stats: Time since handshake: 119.04s, tx: 11.91MiB, rx: 38.64MiB, loss: 0.0%, latency: 15ms
2023-08-12T19:41:39.757Z warp-stats: Time since handshake: 119.03s, tx: 12.43MiB, rx: 39.16MiB, loss: 0.0%, latency: 36ms
2023-08-12T19:43:39.757Z warp-stats: Time since handshake: 119.03s, tx: 12.92MiB, rx: 39.65MiB, loss: 0.0%, latency: 14ms
2023-08-12T19:45:39.757Z warp-stats: Time since handshake: 119.01s, tx: 13.50MiB, rx: 40.47MiB, loss: 0.0%, latency: 16ms
2023-08-12T19:47:39.757Z warp-stats: Time since handshake: 119.00s, tx: 14.02MiB, rx: 40.98MiB, loss: 0.2%, latency: 14ms
2023-08-12T19:49:39.758Z warp-stats: Time since handshake: 118.99s, tx: 14.58MiB, rx: 41.58MiB, loss: 0.1%, latency: 49ms
2023-08-12T19:51:39.757Z warp-stats: Time since handshake: 118.99s, tx: 15.08MiB, rx: 42.09MiB, loss: 0.0%, latency: 56ms
