2023-08-13T23:06:47.081Z warp-stats: Time since handshake: 0.14s, tx: 64B, rx: 0B, loss: 0.0%, latency: 116ms
2023-08-13T23:22:59.251Z warp-stats: Time since handshake: 0.13s, tx: 155B, rx: 0B, loss: 0.0%, latency: 81ms
2023-08-13T23:41:00.219Z warp-stats: Time since handshake: 0.17s, tx: 142B, rx: 0B, loss: 0.0%, latency: 108ms
2023-08-13T23:58:35.216Z warp-stats: Time since handshake: 0.16s, tx: 3.02KiB, rx: 0B, loss: 0.0%, latency: 103ms
2023-08-14T00:23:20.254Z warp-stats: Time since handshake: 0.12s, tx: 64B, rx: 0B, loss: 0.0%, latency: 84ms
2023-08-14T00:38:25.333Z warp-stats: Time since handshake: 0.13s, tx: 64B, rx: 0B, loss: 0.0%, latency: 88ms
2023-08-14T00:54:24.181Z warp-stats: Time since handshake: 0.16s, tx: 128B, rx: 0B, loss: 0.0%, latency: 109ms
2023-08-14T01:10:57.247Z warp-stats: Time since handshake: 0.12s, tx: 64B, rx: 0B, loss: 0.0%, latency: 76ms
2023-08-14T01:26:15.355Z warp-stats: Time since handshake: 0.16s, tx: 0B, rx: 0B, loss: 0.0%, latency: 120ms
2023-08-14T01:43:13.291Z warp-stats: Time since handshake: 0.19s, tx: 40B, rx: 0B, loss: 0.0%, latency: 127ms
2023-08-14T01:58:38.392Z warp-stats: Time since handshake: 0.14s, tx: 64B, rx: 0B, loss: 0.0%, latency: 101ms
2023-08-14T02:16:28.315Z warp-stats: Time since handshake: 0.19s, tx: 128B, rx: 0B, loss: 0.0%, latency: 147ms
2023-08-14T02:31:58.269Z warp-stats: Time since handshake: 0.18s, tx: 192B, rx: 0B, loss: 0.0%, latency: 120ms
2023-08-14T02:51:41.283Z warp-stats: Time since handshake: 0.16s, tx: 256B, rx: 0B, loss: 0.0%, latency: 108ms
2023-08-14T03:06:59.378Z warp-stats: Time since handshake: 0.18s, tx: 64B, rx: 0B, loss: 0.0%, latency: 135ms
2023-08-14T03:22:10.292Z warp-stats: Time since handshake: 0.16s, tx: 246B, rx: 0B, loss: 0.0%, latency: 115ms
